Customer_ID,Subscription_ID,Date_Purchased,Subscription_Type,Subscription_Period,Region,Price,Payment_Type
e1013bc1-9abe-4028-9f6d-add4a904df46,0d8a9558-a6af-4f6c-a660-dee19198dd6e,2023-05-10,Live TV,Annual,Midwest,149.99,PayPal
4a7deac3-e014-41d5-b18b-d0763092d88a,43ce6c7a-a6cf-40f0-a9e1-1bbfd57f5968,2023-08-20,Live TV,Annual,Midwest,149.99,PayPal
fa516943-f7c5-412c-ba92-6592c2a01d83,d4dfa0ea-1e2e-4032-b860-7d3759934b12,2022-01-14,No Ads,Annual,Northeast,149.99,PayPal
2b162600-9952-46fb-925c-e2c44b539cea,ce1c414c-89a4-4a8b-b9fa-f9d0aa536203,2023-07-24,No Ads,Monthly,South,7.99,PayPal
5700680f-1a37-4812-83ed-b1622379c4d9,2256a66a-8df9-4ea7-8c06-3b6ef8de3194,2023-01-29,No Ads,Annual,Midwest,149.99,Credit Card
97e9c9b3-862d-4854-8e97-ab521cb52b6e,8a9c6ca3-5f0f-4715-a750-9e9162507aba,2022-06-15,Live TV,Monthly,Midwest,76.99,Bank Transfer
8c89f9d2-2e80-4c15-8ad3-1c4a526fac9c,3b143cfe-9271-4566-86f4-5eef1cb00634,2023-04-01,No Ads,Monthly,Northeast,76.99,Credit Card
54f2d914-7abd-4894-ac26-4acdc0e95931,373cf0d4-1e53-4efc-a121-87fca1e5a8a6,2023-08-02,Basic,Annual,Northeast,79.99,Bank Transfer
8a811e71-f57e-4660-bed8-21f17ff43b5b,feb6f1c4-a5d4-4c5d-8ca8-677fbf8c39a6,2023-07-20,No Ads,Annual,South,149.99,Credit Card
3789fefc-fa10-4e05-bb4a-ea1884b59e8a,f3506be2-527c-4b30-8878-723c38bb03dd,2022-09-21,No Ads,Annual,South,149.99,Credit Card
b043a5e9-4046-456b-84ae-8cb91b83f8df,0c83f04a-fd9a-48d2-ba05-74baf2fbe0a1,2022-09-19,No Ads,Monthly,Northeast,76.99,Bank Transfer
364612d8-7bf2-4697-bdef-3e3a6975760f,35d4d623-2c9b-422c-ad45-0cb560175a72,2022-11-13,Live TV,Monthly,Northeast,76.99,Bank Transfer
0740222a-3b01-43c6-bad1-92fbc8c1d9f7,b797809d-0409-4bc3-894b-7a8c7b05d069,2022-04-01,Live TV,Annual,South,149.99,PayPal
792e2de2-3800-4035-b39c-e2a7b2ed9697,cdb6af17-9e25-4a71-aacc-51b0dbb21620,2023-04-06,No Ads,Annual,Northeast,149.99,Bank Transfer
e0a4a107-25bf-44ab-9117-980f46987af7,c67869c3-eb99-4527-84e3-95a2f706d0d2,2023-05-20,Live TV,Annual,South,79.99,PayPal
e10f5f5b-907d-4f20-a458-dfbec0002093,f23be377-4343-4e88-b3ed-fd0365af89d8,2023-04-14,Basic,Monthly,South,14.99,Credit Card
66c88497-29fe-497d-85d4-c14d4ec6b3f3,3030ec1c-d124-4716-8eed-89229205cc34,2023-06-11,Basic,Monthly,Northeast,14.99,Credit Card
7fcecc0a-cf31-45df-ad35-cf47c0993448,88bc0506-1f2a-4a4e-8285-561bb638734d,2023-07-25,No Ads,Annual,West,149.99,Credit Card
db5b9727-15bc-464e-b757-9dde88c3b4b7,34cb08ae-5327-4e6b-8b4c-4c4e1e149b90,2023-11-22,Live TV,Monthly,Midwest,76.99,PayPal
619acada-49cf-4525-8367-9b3178c72d93,1fb10395-6851-490a-b951-7666687fe0ab,2022-12-12,No Ads,Annual,Midwest,149.99,PayPal
76ec2421-770a-43a2-8cdd-4120a3d287db,8cf4d7c0-62a1-4dc8-bbca-5fe9af8ff8b9,2022-03-09,No Ads,Annual,South,149.99,Bank Transfer
ecd4b073-f73a-486e-be65-f83e198e4e5a,b9782cbc-1cbe-4321-8f4e-8adb9f6c51cb,2022-12-31,Basic,Annual,West,149.99,PayPal
67138543-299e-4aa1-92c2-8b1d0da116d6,9b0ff914-ef49-4047-abcb-57976924eb2f,2022-09-17,Basic,Annual,South,79.99,PayPal
42592d2d-5b0f-490a-8f03-e787ce1e9571,5ca901ae-0937-4091-baa6-62b1a6a1cfad,2022-02-15,No Ads,Annual,Northeast,149.99,Credit Card
7ab0dcce-85a4-404d-9fd2-de5fd7e4d674,bf03cd52-3460-45f6-8409-7e23a00a1c3a,2022-08-16,No Ads,Monthly,West,14.99,Bank Transfer
35824f3e-794a-4725-9317-cd551fc7bd09,c65b56e1-c4b0-429f-b06c-4bcf3052cbe2,2022-02-20,No Ads,Annual,South,149.99,Credit Card
1d3c45ea-d7fd-47e1-a577-1f373fe39da4,4f05961b-87d6-49f1-a666-2188fe830122,2023-05-13,No Ads,Annual,South,149.99,Bank Transfer
6c60a42a-9dcb-407f-ac2e-7ab201d9872a,6e720fa2-1e09-4c8d-b599-7114b1f279e6,2023-06-28,Basic,Annual,South,79.99,Bank Transfer
eaaf9ad0-ec46-4cde-8f86-73a15769e7eb,51e28c29-6a48-4953-be8e-d7ae6f926c76,2023-01-01,No Ads,Annual,West,79.99,Bank Transfer
2d1afd4b-2658-4503-a619-014921791d30,ebfdd1f6-57dc-4fc8-8b13-f2ce49a3811e,2023-06-27,Basic,Monthly,Northeast,76.99,PayPal
6ef84d4a-9ee7-4223-8628-e0ad2290f819,d73ab19e-0eb3-47cd-9d62-d8431b48dd54,2022-08-17,No Ads,Monthly,South,14.99,Credit Card
4283f378-d18f-43f8-b5de-cbdf9e8d7f16,d84b7d6d-e03e-4d7e-8e6d-bc0931936b8b,2022-03-16,No Ads,Annual,Midwest,79.99,PayPal
386aa807-12ce-4316-873c-f8cd205ae635,09ec08b7-d609-43b2-b06d-332a2fb0affa,2023-10-05,No Ads,Annual,West,149.99,Bank Transfer
04a9e4a5-cb5c-411d-a8d4-f47d38186e5f,710cf996-0fb1-4591-8b0d-8de6c558df01,2022-05-05,Live TV,Monthly,Northeast,76.99,Bank Transfer
16287681-20d7-42df-a87b-965594ccbb52,0eba6425-a35e-4c75-88eb-29146ed882c4,2022-07-02,Live TV,Annual,Northeast,79.99,PayPal
449b81bc-c212-4f14-8741-0ab7f222e4b8,874a4468-8f81-4054-a3fe-ac1c830bfaae,2023-06-14,No Ads,Annual,Northeast,149.99,Credit Card
d3b80f05-46ba-40c1-b5c3-225ab56eb326,0e9b72d7-da61-43e4-9ec7-6a1c35e302ac,2022-03-04,No Ads,Annual,Northeast,149.99,Credit Card
0c155792-cdf9-4090-91b4-4b392b9ff8b7,11545d92-4096-4e37-b2dc-c2e8c08fe0db,2022-09-03,No Ads,Annual,South,149.99,PayPal
c5a6290d-cf02-412c-b37b-40d6c9f1446d,82e1144e-082b-49c5-8f41-0191eff22255,2022-05-24,No Ads,Monthly,West,76.99,Credit Card
ea8b62d1-15ea-4bd1-bd89-eae68069a5ec,b9a547ec-8e2f-4b52-8ffe-a188866f26f8,2023-12-29,No Ads,Annual,Northeast,149.99,PayPal
a01e037d-052b-4938-af57-97fcb3c5dca0,9b3bd9c0-cfbe-42f4-a280-9c7122083fe9,2022-10-02,Live TV,Annual,South,79.99,PayPal
c4ece216-71d3-4011-9234-f9495eb4a415,e13c289c-e3ce-4818-adee-a2ffba06e093,2022-09-03,No Ads,Monthly,Northeast,14.99,PayPal
6c43dbad-d882-46d3-8fa2-93390dff96e5,bfc6e3d5-d3bc-475f-a047-4e00c3be52c0,2023-04-10,No Ads,Annual,Northeast,79.99,Credit Card
aaf83edd-63db-4174-bf46-799e0352c5e3,45e2b8b6-edba-4779-9101-79e521a38b51,2023-06-25,No Ads,Annual,Northeast,149.99,PayPal
923b3dc3-0991-4ec5-86ad-1d29edbedd2c,fe6aecae-f715-40b5-9407-ff29850ddb0b,2022-04-08,No Ads,Monthly,West,76.99,Credit Card
270741e4-085c-4d85-97f0-828de32d4186,00cdf02b-31d2-4943-8976-8f4c296be8ce,2022-09-29,Basic,Annual,South,79.99,Credit Card
6bf1f1a2-6b25-4fc7-b56f-f81ab835ab98,37cb088c-6e20-4772-b99a-3434acfbb99c,2022-05-06,No Ads,Annual,South,79.99,Credit Card
a143a458-987b-434f-8e5a-e4e58af520f7,eb251328-0197-4db5-8c2a-c215dc68ff49,2022-08-26,Basic,Annual,West,79.99,Bank Transfer
049147cb-284b-4b68-87f6-44228416afda,ddef8af5-969a-4de1-a23a-d0207ab058cd,2023-05-09,Live TV,Monthly,West,14.99,Bank Transfer
fb3b97cd-2204-460d-9e04-07309ef9f708,eae4651e-32ac-46ff-89f6-6fab388406b3,2023-04-28,Live TV,Annual,Midwest,79.99,Credit Card
62221a71-89cb-4da0-ba76-afba22eb5202,c9773461-ddea-43d2-9e2c-7963e59d7ca1,2022-10-10,No Ads,Annual,South,149.99,Credit Card
1d560b90-bbd9-454e-bcd7-8ec34db923a2,ab0f35c1-76b9-4a31-8d9b-e33c62993822,2022-09-13,No Ads,Annual,South,149.99,PayPal
8ec05e49-b7d8-43b4-98eb-087f47b0d82d,fd851c54-4713-4ef5-8d82-71f46a3798ff,2023-03-26,No Ads,Annual,West,149.99,Bank Transfer
16e28708-3a00-44e4-90ae-0bbbdec0576c,70d99899-8d45-4dcd-a0d5-94f43711298b,2023-12-12,Live TV,Annual,Northeast,149.99,PayPal
baf25366-b39a-4841-bcbe-bd00db60299f,2db9699c-4f59-4da0-9e01-297481b1c1ce,2022-01-07,Live TV,Monthly,South,7.99,Credit Card
a148db92-c858-48a3-9054-c5751e14cab9,006493ee-690f-40be-b153-cb9d16ad7f3c,2023-03-24,No Ads,Annual,West,149.99,Bank Transfer
d5a9dc19-6276-4f08-99d3-5630ac992e30,a650fe93-7779-4f46-8ad1-fce7bc47fe68,2022-07-08,No Ads,Annual,Northeast,79.99,PayPal
6c07b2d0-ad12-4294-ac34-a97f1c68ab9a,d9d1ac49-ef11-4caf-a5d8-7a2d1bec7b01,2023-11-26,Basic,Monthly,South,14.99,Bank Transfer
ca898418-9747-4fba-850d-c474382a81ef,dfc28651-b0cd-499f-bc88-094c5177e6f1,2023-08-13,Live TV,Monthly,Northeast,76.99,PayPal
2cf4028a-0a99-4acb-9710-7a1a368902a9,b15620c9-791d-42a0-b26c-8fbd9bc6b2d6,2022-07-23,No Ads,Annual,Midwest,79.99,Bank Transfer
